time alive avgAge maxAge
5760 21 454.3809523809524 1340
5800 22 441.5 1380
5870 23 440.4782608695652 1450
5920 24 457.6666666666667 1500
5810 22 451.5 1390
5850 22 439.95454545454544 1430
5790 21 480.3809523809524 1370
5970 25 468.32 1550
5860 24 412.9166666666667 1440
6020 26 499.4230769230769 1600
5910 23 467.4782608695652 1490
5900 23 457.4782608695652 1480
6070 25 496.84 1650
5960 25 458.32 1540
5730 21 424.3809523809524 1310
5950 23 487.7826086956522 1530
6120 26 498.11538461538464 1700
5840 22 429.95454545454544 1420
5780 20 494.2 1360
6010 26 489.4230769230769 1590
5890 23 447.4782608695652 1470
6170 28 510.14285714285717 1750
6000 26 479.4230769230769 1580
6060 26 487.1923076923077 1640
5830 23 451.2608695652174 1410
6220 29 479.55172413793105 1800
5940 23 477.7826086956522 1520
6050 27 484.77777777777777 1630
6110 26 488.11538461538464 1690
5880 24 432.0416666666667 1460
5990 25 488.32 1570
6270 26 543.3846153846154 1850
6100 25 497.56 1680
6160 27 518.9629629629629 1740
5930 24 467.6666666666667 1510
6040 26 493.15384615384613 1620
6320 24 550.375 1900
6210 28 486.57142857142856 1790
6150 27 508.962962962963 1730
5980 25 478.32 1560
6090 25 487.56 1670
6370 23 549.4347826086956 1950
6200 31 489.5483870967742 1780
6030 27 490.81481481481484 1610
6260 26 533.3846153846154 1840
6140 27 498.962962962963 1720
6250 27 511.6666666666667 1830
6310 24 540.375 1890
6080 24 497.6666666666667 1660
6420 23 579.6521739130435 2000
6190 31 479.5483870967742 1770
6360 23 539.4347826086956 1940
6300 24 530.375 1880
6470 25 579.28 2050
6240 27 501.6666666666667 1820
6130 26 508.11538461538464 1710
6350 26 537.1153846153846 1930
6410 22 595.5909090909091 1990
6520 24 631.4583333333334 2100
6400 22 585.5909090909091 1980
6180 29 502.2413793103448 1760
6290 24 537.9166666666666 1870
6450 25 559.28 2030
6460 25 569.28 2040
6570 25 603.68 2150
6340 25 548.28 1920
6230 29 488.41379310344826 1810
6620 25 598.08 2200
6280 25 543.12 1860
6390 22 575.5909090909091 1970
6510 24 621.4583333333334 2090
6670 25 592.76 2250
6500 24 625.5416666666666 2080
6440 25 549.28 2020
6550 26 612.0769230769231 2130
6560 25 593.68 2140
6330 25 538.28 1910
6490 24 615.5416666666666 2070
6720 28 558.5357142857143 2300
6600 24 602.9583333333334 2180
6610 24 612.9583333333334 2190
6770 32 535.375 2350
6380 22 565.5909090909091 1960
6540 26 602.0769230769231 2120
6650 25 572.76 2230
6660 25 582.76 2240
6430 25 542.92 2010
6590 24 592.9583333333334 2170
6820 34 539.6176470588235 2400
6710 27 586.7037037037037 2290
6700 26 598.9615384615385 2280
6870 30 523.9333333333333 2450
6480 25 589.28 2060
6640 25 562.76 2220
6750 31 532.1612903225806 2330
6530 25 615.92 2110
6690 25 612.76 2270
6760 32 525.375 2340
6920 31 476.96774193548384 1940
6580 24 619.0833333333334 2160
6800 33 535.4242424242424 2380
6810 34 529.6176470588235 2390
6740 29 558.6551724137931 2320
6970 32 499.125 1990
6850 32 546.25 2430
6860 30 513.9333333333333 2440
6630 26 585.0384615384615 2210
6790 34 520.4705882352941 2370
7020 32 502.96875 2040
6900 31 456.96774193548384 1920
6680 25 602.76 2260
6910 31 466.96774193548384 1930
6840 35 541.4571428571429 2420
6730 28 568.5357142857143 2310
7070 30 434.3 2090
6890 30 462.1333333333333 1910
